Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Found 1 repos that are unatomized
Atomizing repo ID: 2982
STDOUT: SOURCE_PATH: /var/www/html/public/files/uploads/2982
CONTAINER_PATH: /work/2982
REPO_ID: 2982
#0 building with "default" instance using docker driver

#1 [rust-atomizer internal] load .dockerignore
#1 transferring context:
#1 transferring context: 2B 0.0s done
#1 ...

#2 [rust-atomizer internal] load build definition from Dockerfile
#2 transferring dockerfile: 32B 0.2s done
#2 DONE 4.4s

#1 [rust-atomizer internal] load .dockerignore
#1 DONE 5.6s

#3 [rust-atomizer internal] load metadata for docker.io/library/debian:bookworm-slim
#3 DONE 0.0s

#4 [rust-atomizer  1/11] FROM docker.io/library/debian:bookworm-slim
#4 DONE 0.0s

#5 [rust-atomizer 10/11] RUN /opt/venv/bin/pip install mysql-connector-python
#5 CACHED

#6 [rust-atomizer  4/11] RUN rustup default stable && rustup update
#6 CACHED

#7 [rust-atomizer  6/11] RUN env     TAG="v0.5.2"     OS="$(uname -s | tr '[:upper:]' '[:lower:]')"     ARCH="$(uname -m | sed -e 's/x86_64/amd64/')"     bash -c 'curl -L "https://github.com/sourcegraph/scip/releases/download/$TAG/scip-$OS-$ARCH.tar.gz"'     | tar xzf - scip     && mv scip /usr/local/bin/     && chmod +x /usr/local/bin/scip
#7 CACHED

#8 [rust-atomizer  7/11] RUN ln -sf /usr/local/bin/rust-analyzer /usr/bin/rust-analyzer &&     ln -sf /usr/local/bin/scip /usr/bin/scip
#8 CACHED

#9 [rust-atomizer  2/11] RUN apt-get update && apt-get install -y     python3     python3-pip     python3-venv     curl     git     build-essential     pkg-config     libssl-dev     && rm -rf /var/lib/apt/lists/*
#9 CACHED

#10 [rust-atomizer  9/11] RUN python3 -m venv /opt/venv
#10 CACHED

#11 [rust-atomizer  8/11] RUN cargo --version && which rust-analyzer && which scip && rust-analyzer --version && scip --version
#11 CACHED

#12 [rust-atomizer  3/11] RUN curl --proto '=https' --tlsv1.2 -sSf https://sh.rustup.rs | sh -s -- -y
#12 CACHED

#13 [rust-atomizer  5/11] RUN curl -L https://github.com/rust-analyzer/rust-analyzer/releases/latest/download/rust-analyzer-x86_64-unknown-linux-gnu.gz | gunzip -c > /usr/local/bin/rust-analyzer     && chmod +x /usr/local/bin/rust-analyzer
#13 CACHED

#14 [rust-atomizer 11/11] WORKDIR /work
#14 CACHED

#15 [rust-atomizer] exporting to image
#15 exporting layers done
#15 writing image sha256:d72d83d98a8d6c21466b088ca5ddabb2db82519d0527000a7e8c99946aa82b21
#15 writing image sha256:d72d83d98a8d6c21466b088ca5ddabb2db82519d0527000a7e8c99946aa82b21 0.0s done
#15 naming to docker.io/library/rust-atomizer-rust-atomizer done
#15 DONE 2.4s
Attaching to rust-atomizer-1
rust-atomizer-1  | Running: rust-analyzer scip /work/2982
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
